#Organism group,Strain,Source type,Collection date,Host disease,Outbreak,Host,Isolate identifiers,Serovar,Isolate,Create date,AST phenotypes,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Campylobacter jejuni","CVM N17C608",,"2017",,,,"""CVM N17C608"",""SRS3530382""",,"PDT000345657.1","2018-07-12T11:59:21Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:TN","Chicken Wings","environmental/other","PDS000025615.6",6,,"SAMN09605317","GCA_005332085.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C178",,"2019",,,,"""CVM N19C178"",""SRS5472378""",,"PDT000599776.1","2019-10-03T20:34:43Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:GA","Chicken Whole - cut in lab","environmental/other","PDS000025615.6",4,,"SAMN12906146","GCA_008889815.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","19GA06CB06-C",,"2019-06-11",,,,"""19GA06CB06-C"",""SRS6112624""",,"PDT000679392.1","2020-02-07T18:11:00Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=R","USA:GA","Chicken Thighs","environmental/other","PDS000025615.6",4,,"SAMN14051616","GCA_010357985.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C019",,"2019",,,,"""CVM N19C019"",""SRS7415263""",,"PDT000843458.1","2020-09-23T19:23:58Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:TN","Chicken Thighs","environmental/other","PDS000025615.6",1,,"SAMN16231140","GCA_014722435.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C572",,"2017",,,,"""CVM N17C572"",""SRS3530654""",,"PDT000345383.1","2018-07-12T09:59:04Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NY","chicken breast","environmental/other","PDS000025646.5",2,,"SAMN09605294","GCA_005323835.1","aph(3')-VIIa=COMPLETE,blaOXA-489=COMPLETE,blaOXA=COMPLETE,blaOXA=PARTIAL_END_OF_CONTIG,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C220",,"2017",,,,"""CVM N17C220"",""SRS3530598""",,"PDT000345437.1","2018-07-12T09:59:12Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=S","USA:SD","Chicken Thighs","environmental/other","PDS000025629.2",2,,"SAMN09605084","GCA_005327995.1","gyrA_T86I=POINT",
"Campylobacter jejuni","CVM N17C095",,"2017",,,,"""CVM N17C095"",""SRS3530571""",,"PDT000345466.1","2018-07-12T09:59:16Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=S","USA:LA","Chicken Thighs","environmental/other","PDS000025629.2",2,,"SAMN09604978","GCA_005328495.1","gyrA_T86I=POINT",
"Campylobacter jejuni","CVM N17C108",,"2017",,,,"""CVM N17C108"",""SRS3530567""",,"PDT000345468.1","2018-07-12T09:59:16Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=S","USA:LA","Chicken Thighs","environmental/other","PDS000025629.2",2,,"SAMN09604984","GCA_005328475.1","gyrA_T86I=POINT",
"Campylobacter jejuni","CVM N17C734",,"2017",,,,"""CVM N17C734"",""SRS3673371""",,"PDT000363186.1","2018-08-15T19:42:48Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:MO","Chicken Thighs","environmental/other","PDS000025629.2",3,,"SAMN09783316","GCA_005358195.1","gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C691",,"2017",,,,"""CVM N17C691"",""SRS3673239""",,"PDT000363316.1","2018-08-15T19:43:09Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:IA","chicken breast","environmental/other","PDS000025629.2",5,,"SAMN09783273","GCA_005360165.1","gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C697",,"2017",,,,"""CVM N17C697"",""SRS3673200""",,"PDT000363357.1","2018-08-15T19:43:16Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=S","USA:LA","Chicken Thighs","environmental/other","PDS000025629.2",2,,"SAMN09783279","GCA_005361285.1","gyrA_T86I=POINT",
"Campylobacter jejuni","CVM N16C353",,"2016",,,,"""CVM N16C353"",""SRS2547798""",,"PDT000245173.2","2017-09-28T02:46:15Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:OR","chicken breast","environmental/other","PDS000009068.7",17,11,"SAMN07633666","GCA_005021735.1","50S_L22_A103V=POINT,blaOXA-184=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C074",,"2016",,,,"""CVM N16C074"",""SRS2547526""",,"PDT000244857.2","2017-09-28T00:49:25Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MO","ground turkey","environmental/other","PDS000020787.3",6,,"SAMN07633390","GCA_004973385.1","blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C177",,"2016",,,,"""CVM N16C177"",""SRS2547627""",,"PDT000244957.2","2017-09-28T00:49:42Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CT","Chicken Legs","environmental/other","PDS000020787.3",8,,"SAMN07633492","GCA_004973585.1","blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C051",,"2017",,,,"""CVM N17C051"",""SRS3530639""",,"PDT000345398.1","2018-07-12T09:59:06Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:IA","Chicken Wings","environmental/other","PDS000020787.3",8,,"SAMN09604934","GCA_005327045.1","blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C076",,"2016",,,,"""CVM N16C076"",""SRS2547528""",,"PDT000244859.2","2017-09-28T00:49:25Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=S","USA:MO","chicken breast","environmental/other","PDS000022490.4",12,,"SAMN07633392","GCA_005210305.1","blaOXA-460=COMPLETE,gyrA_T86I=POINT",
"Campylobacter jejuni","CVM N18C136",,"2018",,,,"""CVM N18C136"",""SRS4433371""",,"PDT000473009.1","2019-03-04T15:39:42Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MN","Chicken Thighs","environmental/other","PDS000043229.4",11,29,"SAMN11047675","GCA_004876105.1","50S_L22_A103V=POINT,blaOXA-184=COMPLETE",
"Campylobacter jejuni","CVM N18C378",,"2018",,,,"""CVM N18C378"",""SRS4433584""",,"PDT000473229.1","2019-03-04T15:40:26Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:TN","Chicken Wings","environmental/other","PDS000043229.4",14,22,"SAMN11047896","GCA_004882035.1","50S_L22_A103V=POINT,blaOXA-184=COMPLETE",
"Campylobacter jejuni","CVM N17C735",,"2017",,,,"""CVM N17C735"",""SRS3673373""",,"PDT000363185.1","2018-08-15T19:42:47Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MO","Chicken Thighs","environmental/other","PDS000042686.4",10,31,"SAMN09783317","GCA_005357765.1","blaOXA-460=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C601",,"2017",,,,"""CVM N17C601"",""SRS3530469""",,"PDT000345561.1","2018-07-12T09:59:30Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:TN","Chicken Wings","environmental/other","PDS000043618.5",1,,"SAMN09605314","GCA_005330565.1","blaOXA-460=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C277",,"2018",,,,"""CVM N18C277"",""SRS4433547""",,"PDT000473044.1","2019-03-04T15:39:48Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:SC","Chicken Thighs","environmental/other","PDS000043618.5",5,,"SAMN11047802","GCA_004876965.1","blaOXA-460=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","PNUSAC016611",,"2019-10-22",,,,"""19SC10CB31-C"",""PNUSAC016611"",""SRS6911151""",,"PDT000771887.1","2020-06-26T20:16:37Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,tetracycline=R","USA:SC","chicken","environmental/other","PDS000043618.5",1,,"SAMN15297359","GCA_013654755.1","blaOXA-460=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C023",,"2018",,,,"""CVM N18C023"",""SRS4434058""",,"PDT000473441.1","2019-03-04T19:12:19Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:SD","Chicken Wings","environmental/other","PDS000043200.5",22,29,"SAMN11047570","GCA_004882585.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C832",,"2017",,,,"""CVM N17C832"",""SRS3673143""",,"PDT000363413.1","2018-08-15T19:43:25Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:TX","Whole - cut in lab","environmental/other","PDS000042805.5",10,13,"SAMN09836331","GCA_005362705.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C245",,"2017",,,,"""CVM N17C245"",""SRS3530745""",,"PDT000345766.1","2018-07-12T11:59:41Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:TX","Whole - cut in lab","environmental/other","PDS000025636.4",2,7,"SAMN09605106","GCA_005334225.1","50S_L22_A103V=POINT,ant(6)-Ia=PARTIAL_END_OF_CONTIG,aph(3')-IIIa=COMPLETE,blaOXA-184=COMPLETE,sat4=COMPLETE",
"Campylobacter jejuni","CVM N17C035",,"2017",,,,"""CVM N17C035"",""SRS3530429""",,"PDT000345607.1","2018-07-12T09:59:37Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:GA","Chicken Wings","environmental/other","PDS000025611.3",2,4,"SAMN09604921","GCA_005331265.1",,
"Campylobacter jejuni","CVM N18C339",,"2018",,,,"""CVM N18C339"",""SRS4433490""",,"PDT000473101.1","2019-03-04T15:39:58Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MN","chicken breast","environmental/other","PDS000025611.3",9,15,"SAMN11047859","GCA_004877915.1",,
"Campylobacter jejuni","CVM N18C465",,"2018",,,,"""CVM N18C465"",""SRS4433558""",,"PDT000473144.1","2019-03-04T15:40:08Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MN","Chicken Thighs","environmental/other","PDS000025611.3",7,11,"SAMN11047972","GCA_004878785.1",,
"Campylobacter jejuni","CVM N17C148",,"2017",,,,"""CVM N17C148"",""SRS3530754""",,"PDT000345756.1","2018-07-12T11:59:39Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NM","Chicken Thighs","environmental/other","PDS000025634.4",1,32,"SAMN09605022","GCA_005334025.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C147",,"2017",,,,"""CVM N17C147"",""SRS3530753""",,"PDT000345757.1","2018-07-12T11:59:39Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NM","Chicken Thighs","environmental/other","PDS000025634.4",1,33,"SAMN09605021","GCA_005334105.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N19C101",,"2019",,,,"""CVM N19C101"",""SRS5288355""",,"PDT000568807.1","2019-08-21T11:41:33Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CA","Chicken Breasts","environmental/other","PDS000025704.4",16,,"SAMN12606356","GCA_008130545.1","aph(3')-VIIa=COMPLETE,blaOXA-594=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C306",,"2016",,,,"""CVM N16C306"",""SRS2547752""",,"PDT000245126.2","2017-09-28T02:46:02Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CA","Chicken Wings","environmental/other","PDS000025641.2",7,,"SAMN07633619","GCA_004974665.1","tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C008",,"2017",,,,"""CVM N17C008"",""SRS3530566""",,"PDT000345472.1","2018-07-12T09:59:17Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CA","Chicken Legs","environmental/other","PDS000025641.2",4,,"SAMN09604894","GCA_005329295.1","tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C002",,"2017",,,,"""CVM N17C002"",""SRS3530550""",,"PDT000345488.1","2018-07-12T09:59:19Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CA","Chicken Wings","environmental/other","PDS000025641.2",7,,"SAMN09604888","GCA_005328955.1","tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C001",,"2017",,,,"""CVM N17C001"",""SRS3530548""",,"PDT000345489.1","2018-07-12T09:59:20Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CA","Chicken Wings","environmental/other","PDS000025641.2",4,,"SAMN09604887","GCA_005328655.1","tet(O)=COMPLETE",
"Campylobacter jejuni","19IA11CB10-C1",,"2019-10",,,,"""19IA11CB10-C1"",""CFSAN102979"",""SRS5886608""",,"PDT000650298.1","2019-12-26T18:26:14Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,tetracycline=S","USA:IA","chicken breast","environmental/other","PDS000043802.30",5,5,"SAMN13682808","GCA_010356885.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","CVM N17C162",,"2017",,,,"""CVM N17C162"",""SRS3530688""",,"PDT000345350.1","2018-07-12T09:58:59Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NM","chicken breast","environmental/other","PDS000022767.25",12,10,"SAMN09605036","GCA_005326365.1","50S_L22_G86E=POINT,blaOXA-193=COMPLETE",
"Campylobacter jejuni","CVM N17C331",,"2017",,,,"""CVM N17C331"",""SRS3530486""",,"PDT000345545.1","2018-07-12T09:59:28Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:KS","Chicken Thighs","environmental/other","PDS000022767.25",9,10,"SAMN09605174","GCA_005330105.1","blaOXA=COMPLETE",
"Campylobacter jejuni","CVM N18C042",,"2018",,,,"""CVM N18C042"",""SRS4434158""",,"PDT000473342.1","2019-03-04T19:12:02Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=R,tetracycline=S","USA:CO","Chicken Thighs","environmental/other","PDS000022767.25",2,2,"SAMN11047586","GCA_004881185.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","CVM N18C104",,"2018",,,,"""CVM N18C104"",""SRS4434078""",,"PDT000473422.1","2019-03-04T19:12:16Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:TX","Chicken Legs","environmental/other","PDS000022767.25",1,1,"SAMN11047644","GCA_004882525.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","CVM N17C812",,"2017",,,,"""CVM N17C812"",""SRS3673242""",,"PDT000363313.1","2018-08-15T19:43:09Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=S","USA:PA","chicken breast","environmental/other","PDS000044055.29",4,2,"SAMN09783394","GCA_005360365.1","50S_L22_A103V=POINT,gyrA_T86I=POINT",
"Campylobacter jejuni","CVM N18C364",,"2018",,,,"""CVM N18C364"",""SRS4433653""",,"PDT000473160.1","2019-03-04T15:40:10Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:GA","chicken breast","environmental/other","PDS000022850.30",5,,"SAMN11047883","GCA_004879085.1","aph(3')-VIIa=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C559",,"2016",,,,"""CVM N16C559"",""SRS2547997""",,"PDT000245370.2","2017-09-28T02:47:11Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:CO","Chicken Thighs","environmental/other","PDS000021472.28",4,8,"SAMN07633863","GCA_005215105.1","blaOXA-460=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C646",,"2017",,,,"""CVM N17C646"",""SRS3673350""",,"PDT000363205.1","2018-08-15T19:42:51Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:CO","Chicken Thighs","environmental/other","PDS000021472.28",8,6,"SAMN09783245","GCA_005358825.1","blaOXA-460=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C769",,"2017",,,,"""CVM N17C769"",""SRS3673334""",,"PDT000363220.1","2018-08-15T19:42:53Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:SC","Chicken Wings","environmental/other","PDS000020818.20",1,16,"SAMN09783351","GCA_005356755.1","aph(3')-IIIa=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C770",,"2017",,,,"""CVM N17C770"",""SRS3673321""",,"PDT000363233.1","2018-08-15T19:42:55Z","azithromycin=S,ciprofloxacin=R,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=R,telithromycin=S,tetracycline=R","USA:SC","Chicken Thighs","environmental/other","PDS000020818.20",1,15,"SAMN09783352","GCA_005358805.1","aph(3')-IIIa=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C449",,"2017",,,,"""CVM N17C449"",""SRS3673214""",,"PDT000363342.1","2018-08-15T19:43:13Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:TX","Whole - cut in lab","environmental/other","PDS000020818.20",2,15,"SAMN09783203","GCA_005360715.1",,
"Campylobacter jejuni","CVM N17C453",,"2017",,,,"""CVM N17C453"",""SRS3673161""",,"PDT000363396.1","2018-08-15T19:43:22Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:TX","ground turkey","environmental/other","PDS000020818.20",2,13,"SAMN09783207","GCA_005362405.1",,
"Campylobacter jejuni","CVM N17C363",,"2017",,,,"""CVM N17C363"",""SRS3673092""",,"PDT000363465.1","2018-08-15T19:43:34Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MO","Whole - cut in lab","environmental/other","PDS000020818.20",2,13,"SAMN09783121","GCA_005364165.1","aph(3')-IIIa=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C439",,"2018",,,,"""CVM N18C439"",""SRS4433662""",,"PDT000473151.1","2019-03-04T15:40:09Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:SD","Chicken Legs","environmental/other","PDS000020818.20",1,9,"SAMN11047948","GCA_004878025.1",,
"Campylobacter jejuni","CVM N18C448",,"2018",,,,"""CVM N18C448"",""SRS4433658""",,"PDT000473155.1","2019-03-04T15:40:10Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MO","Chicken Wings","environmental/other","PDS000020818.20",12,11,"SAMN11047956","GCA_004879825.1",,
"Campylobacter jejuni","FSIS1606469",,"2016",,,,"""FSIS1606469"",""SRS1475019""",,"PDT000133465.2","2016-06-01T01:15:34Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NE","animal-cattle-dairy cow","environmental/other","PDS000103327.3",6,14,"SAMN05190028","GCA_005291545.1","blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1605602",,"2016",,,,"""FSIS1605602"",""SRS1272392""",,"PDT000104918.2","2016-02-03T06:25:29Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NE","animal-cattle-heifer","environmental/other","PDS000022890.11",21,27,"SAMN04452147","GCA_005282105.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni",,,"2019","campylobacteriosis",,"Homo sapiens","""19W1007H1"",""SRS5274203""",,"PDT000837553.1","2020-09-16T20:26:40Z","amoxicillin-clavulanic acid=S,ampicillin=S,ciprofloxacin=S,erythromycin=S,gentamicin=S,tetracycline=S","Australia: WA","feces","clinical","PDS000021440.12",13,,"SAMN12585737","GCA_014618055.1",,
"Campylobacter jejuni","CVM N19C044",,"2019",,,,"""CVM N19C044"",""SRS5288343""",,"PDT000568817.1","2019-08-21T11:41:34Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CA","Chicken Breasts","environmental/other","PDS000037228.23",19,15,"SAMN12606334","GCA_008130725.1","blaOXA-631=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni",,,"2018","campylobacteriosis",,"Homo sapiens","""18A1037H1"",""SRS5274173""",,"PDT000837583.1","2020-09-16T20:26:48Z","amoxicillin-clavulanic acid=S,ampicillin=S,ciprofloxacin=S,erythromycin=S,gentamicin=S,tetracycline=R","Australia: ACT","feces","clinical","PDS000037228.23",24,29,"SAMN12585781","GCA_014617755.1","blaOXA-631=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C096",,"2016",,,,"""CVM N16C096"",""SRS2547548""",,"PDT000244879.2","2017-09-28T00:49:28Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:NY","chicken breast","environmental/other","PDS000022417.15",12,12,"SAMN07633412","GCA_005205975.1","blaOXA=PARTIAL",
"Campylobacter jejuni","CVM N16C333",,"2016",,,,"""CVM N16C333"",""SRS2547781""",,"PDT000245153.2","2017-09-28T02:46:10Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MD","chicken breast","environmental/other","PDS000022417.15",10,18,"SAMN07633646","GCA_005021915.1","blaOXA=PARTIAL",
"Campylobacter jejuni","CVM N16C490",,"2016",,,,"""CVM N16C490"",""SRS2547931""",,"PDT000245302.2","2017-09-28T02:46:52Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MN","Chicken Thighs","environmental/other","PDS000022417.15",1,21,"SAMN07633795","GCA_004976585.1","blaOXA=PARTIAL,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C493",,"2017",,,,"""CVM N17C493"",""SRS3530544""",,"PDT000345492.1","2018-07-12T09:59:20Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:LA","Chicken Legs","environmental/other","PDS000022417.15",0,3,"SAMN09605224","GCA_005329315.1","blaOXA=PARTIAL",
"Campylobacter jejuni","CVM N17C517",,"2017",,,,"""CVM N17C517"",""SRS3530376""",,"PDT000345658.1","2018-07-12T11:59:22Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:MD","Chicken Wings","environmental/other","PDS000022417.15",0,3,"SAMN09605247","GCA_005332165.1","blaOXA=PARTIAL",
